District,Students,lat,lon
Kampala,19,0.347596,32.58252
Mukono,4,0.36083,32.745918
Kasese,2,0.17249,30.085871
Mbarara,2,-0.60893,30.66043
Mbale,1,1.07752,34.17898
Gulu,1,2.77162,32.29742
Mayuge,1,0.45792,33.4804
Iganga,1,0.61514,33.47855
Busia,1,0.46452,34.10215
Namayingo,1,0.275,33.822636
Luwero,1,0.83267,32.50022
Masindi,1,1.68501,31.71847
Pallisa,1,1.16699,33.71153
Mubende,1,0.5465,31.40162
Kitgum,1,3.29644,32.88382
Kyotera,1,-0.6327,31.54551
Moroto,1,2.53385,34.65691
Masaka,1,-0.34072,31.73744
Ntugamo,1,-0.87161,30.2668
Zombo,1,0.58533,32.53261
